Brand,Motor,Weight g,KV,Prop,T,Data Batt S,V,A,Thrust g,Efficiency,W,RPM,Min Prop,Max Prop,Stator Diameter,Stator height,Data P size,Data P pitch,Prop area,Stator Vol,Stator Volume/Prop Area ratio
Flashobby,A2807,56,1800,GF7035,60.00%,4,16.28,19.34,980,3.1,314.9,14634,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7035,70.00%,4,16.18,23.46,1128,3,379.6,15699,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7035,80.00%,4,16,29.62,1337,2.8,473.9,17087,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7035,90.00%,4,15.78,37.36,1555,2.6,589.5,18412,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7035,100.00%,4,15.65,41.62,1658,2.5,651.4,18853,5,7,28,7,7,3.5,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7040,40.00%,4,16.52,11.31,646,3.5,186.8,12940,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7040,50.00%,4,16.42,14.83,793,3.3,243.5,14185,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7040,60.00%,4,16.31,18.46,931,3.1,301.1,15214,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7040,70.00%,4,16.21,22.34,1072,3,362.1,16199,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7040,80.00%,4,16.03,28.43,1280,2.8,455.7,17481,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7040,90.00%,4,15.81,36.37,1519,2.6,575,18745,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7040,100.00%,4,15.68,40.57,1614,2.5,636.1,19206,5,7,28,7,7,4,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7042,40.00%,4,16.49,12.29,665,3.3,202.7,11904,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7042,50.00%,4,16.39,15.94,804,3.1,261.3,13097,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7042,60.00%,4,16.28,19.8,939,2.9,322.3,14146,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7042,70.00%,4,16.15,24.37,1091,2.8,393.6,15178,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7042,80.00%,4,15.95,31.39,1307,2.6,500.7,16558,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7042,90.00%,4,15.7,39.72,1516,2.4,623.6,17697,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2807,56,1800,GF7042,100.00%,4,15.59,43.78,1590,2.3,682.5,18236,5,7,28,7,7,4.2,38.48,4310.27,112
Flashobby,A2810,67.6,1100,FH8045,50.00%,6,25.12,11.91,1177,3.93,299.3,10778,7,9,28,10,8,4.5,50.27,6157.52,122.5
Flashobby,A2810,67.6,1100,FH8045,60.00%,6,25.06,18.81,1569,3.33,471.2,12421,7,9,28,10,8,4.5,50.27,6157.52,122.5
Flashobby,A2810,67.6,1100,FH8045,70.00%,6,24.98,27.08,1964,2.9,676.4,13861,7,9,28,10,8,4.5,50.27,6157.52,122.5
Flashobby,A2810,67.6,1100,FH8045,80.00%,6,24.9,36.17,2298,2.55,900.5,14927,7,9,28,10,8,4.5,50.27,6157.52,122.5
Flashobby,A2810,67.6,1100,FH8045,90.00%,6,24.81,45.65,2592,2.29,1132.5,15689,7,9,28,10,8,4.5,50.27,6157.52,122.5
Flashobby,A2810,67.6,1100,FH8045,100.00%,6,24.71,55.7,2774,2.02,1376.3,16280,7,9,28,10,8,4.5,50.27,6157.52,122.5
Flashobby,A2810,67.6,1100,GF8040,50.00%,6,25.14,10.15,1071,4.2,255.3,11279,7,9,28,10,8,4,50.27,6157.52,122.5
Flashobby,A2810,67.6,1100,GF8040,60.00%,6,25.08,16.16,1465,3.61,405.3,13127,7,9,28,10,8,4,50.27,6157.52,122.5
Flashobby,A2810,67.6,1100,GF8040,70.00%,6,25.01,23.44,1861,3.17,586.2,14708,7,9,28,10,8,4,50.27,6157.52,122.5
Flashobby,A2810,67.6,1100,GF8040,80.00%,6,24.94,31.62,2231,2.83,738.7,16022,7,9,28,10,8,4,50.27,6157.52,122.5
Flashobby,A2810,67.6,1100,GF8040,90.00%,6,24.85,41.29,2584,2.52,1025.9,17083,7,9,28,10,8,4,50.27,6157.52,122.5
Flashobby,A2810,67.6,1100,GF8040,100.00%,6,24.76,51.2,2801,2.28,1267.7,17995,7,9,28,10,8,4,50.27,6157.52,122.5
Flashobby,A2810,67.6,1100,HQ8040,50.00%,6,25.15,9.37,979,4.15,235.7,11508,7,9,28,10,8,4,50.27,6157.52,122.5
Flashobby,A2810,67.6,1100,HQ8040,60.00%,6,25.1,14.85,1362,3.65,372.7,13450,7,9,28,10,8,4,50.27,6157.52,122.5
Flashobby,A2810,67.6,1100,HQ8040,70.00%,6,25.03,21.61,1760,3.25,541,15104,7,9,28,10,8,4,50.27,6157.52,122.5
Flashobby,A2810,67.6,1100,HQ8040,80.00%,6,24.96,29.75,2130,2.87,742.5,16550,7,9,28,10,8,4,50.27,6157.52,122.5
Flashobby,A2810,67.6,1100,HQ8040,90.00%,6,24.87,38.82,2503,2.59,965.4,17815,7,9,28,10,8,4,50.27,6157.52,122.5
Flashobby,A2810,67.6,1100,HQ8040,100.00%,6,24.78,48.88,2822,2.33,1211.2,18834,7,9,28,10,8,4,50.27,6157.52,122.5
Flashobby,A2810,67.6,1100,GF9045,50.00%,6,25.1,14.14,1385,3.9,355,10250,7,9,28,10,9,4.5,63.62,6157.52,96.79
Flashobby,A2810,67.6,1100,GF9045,60.00%,6,25.03,22.24,1775,3.19,556.7,11559,7,9,28,10,9,4.5,63.62,6157.52,96.79
Flashobby,A2810,67.6,1100,GF9045,70.00%,6,24.95,30.25,2191,2.9,754.8,12839,7,9,28,10,9,4.5,63.62,6157.52,96.79
Flashobby,A2810,67.6,1100,GF9045,80.00%,6,24.87,39.67,2505,2.54,986.5,13677,7,9,28,10,9,4.5,63.62,6157.52,96.79
Flashobby,A2810,67.6,1100,GF9045,90.00%,6,24.78,48.77,2732,2.26,1208.4,14216,7,9,28,10,9,4.5,63.62,6157.52,96.79
Flashobby,A2810,67.6,1100,GF9045,100.00%,6,24.7,57.23,2845,2.01,1413.2,14576,7,9,28,10,9,4.5,63.62,6157.52,96.79
Flashobby,A2812,76,900,FH8045,50.00%,6,25.17,6.26,762,4.83,157.6,8940,7,10,28,12,8,4.5,50.27,7389.03,147
Flashobby,A2812,76,900,FH8045,60.00%,6,25.13,10.24,1093,4.25,257.3,10372,7,10,28,12,8,4.5,50.27,7389.03,147
Flashobby,A2812,76,900,FH8045,70.00%,6,25.09,15.19,1416,3.72,381.1,11810,7,10,28,12,8,4.5,50.27,7389.03,147
Flashobby,A2812,76,900,FH8045,80.00%,6,25.03,21.18,1759,3.32,530.2,13065,7,10,28,12,8,4.5,50.27,7389.03,147
Flashobby,A2812,76,900,FH8045,90.00%,6,24.97,27.9,2085,2.99,696.7,14116,7,10,28,12,8,4.5,50.27,7389.03,147
Flashobby,A2812,76,900,FH8045,100.00%,6,24.9,35.05,2378,2.72,872.7,15057,7,10,28,12,8,4.5,50.27,7389.03,147
Flashobby,A2812,76,900,GF8040,50.00%,6,25.18,5.27,675,5.09,132.6,9219,7,10,28,12,8,4,50.27,7389.03,147
Flashobby,A2812,76,900,GF8040,60.00%,6,25.15,8.35,968,4.61,210,10802,7,10,28,12,8,4,50.27,7389.03,147
Flashobby,A2812,76,900,GF8040,70.00%,6,25.11,12.82,1309,4.07,322,12342,7,10,28,12,8,4,50.27,7389.03,147
Flashobby,A2812,76,900,GF8040,80.00%,6,25.06,17.85,1623,3.63,447.3,13765,7,10,28,12,8,4,50.27,7389.03,147
Flashobby,A2812,76,900,GF8040,90.00%,6,25.01,23.61,1955,3.31,590.4,15006,7,10,28,12,8,4,50.27,7389.03,147
Flashobby,A2812,76,900,GF8040,100.00%,6,24.95,30.24,2282,3.03,754.3,16144,7,10,28,12,8,4,50.27,7389.03,147
Flashobby,A2812,76,900,HQ8040,50.00%,6,25.18,4.88,617,5.02,123,9319,7,10,28,12,8,4,50.27,7389.03,147
Flashobby,A2812,76,900,HQ8040,60.00%,6,25.15,7.76,872,4.47,195.1,10968,7,10,28,12,8,4,50.27,7389.03,147
